
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","22","15","true","0","1","105","true","0","1","53","true","0","0","1","true"
"1","21","15","true","1","2","105","true","1","1","53","true","1","0","1","true"
"2","20","15","true","2","3","105","true","2","1","53","true","2","0","1","true"
"3","19","15","true","3","4","105","true","3","1","53","true","3","0","1","true"
"4","18","15","true","4","5","105","true","4","1","53","true","4","0","1","true"
"5","18","15","true","5","4","105","true","5","2","53","true","5","0","1","true"
"6","18","15","true","6","3","105","true","6","3","53","true","6","0","1","true"
"7","17","15","true","7","4","105","true","7","3","53","true","7","0","1","true"
"8","17","15","true","8","3","105","true","8","4","53","true","8","0","1","true"
"9","17","15","true","9","3","105","true","9","2","53","true","9","2","1","true"
"10","16","15","true","10","4","105","true","10","2","53","true","10","2","1","true"
"11","15","15","true","11","4","105","true","11","3","53","true","11","2","1","true"
"12","14","15","true","12","5","105","true","12","3","53","true","12","2","1","true"
"13","13","15","true","13","6","105","true","13","3","53","true","13","2","1","true"
"14","11","15","true","14","8","105","true","14","2","53","true","14","3","1","true"
"15","10","15","true","15","7","105","true","15","3","53","true","15","4","1","true"
"16","9","15","true","16","8","105","true","16","2","53","true","16","5","1","true"
