"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","22","15","true","0","1","105","true","0","1","53","true","0","0","1","true"
"1","21","15","true","1","2","105","true","1","1","53","true","1","0","1","true"
"2","20","15","true","2","2","105","true","2","2","53","true","2","0","1","true"
"3","18","15","true","3","4","105","true","3","2","53","true","3","0","1","true"
"4","16","15","true","4","6","105","true","4","2","53","true","4","0","1","true"
"5","15","15","true","5","6","105","true","5","3","53","true","5","0","1","true"
"6","14","15","true","6","6","105","true","6","3","53","true","6","1","1","true"
"7","12","15","true","7","7","105","true","7","4","53","true","7","1","1","true"
"8","10","15","true","8","8","105","true","8","4","53","true","8","2","1","true"
"9","7","15","true","9","10","105","true","9","4","53","true","9","3","1","true"
"10","6","15","true","10","10","105","true","10","4","53","true","10","4","1","true"
"11","6","15","true","11","10","105","true","11","4","53","true","11","4","1","true"
"12","6","15","true","12","9","105","true","12","5","53","true","12","4","1","true"
"13","4","15","true","13","11","105","true","13","5","53","true","13","4","1","true"
"14","3","15","true","14","12","105","true","14","4","53","true","14","5","1","true"
