
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","21","15","true","0","2","105","true","0","1","53","true","0","0","1","true"
"1","19","15","true","1","4","105","true","1","1","53","true","1","0","1","true"
"2","18","15","true","2","5","105","true","2","1","53","true","2","0","1","true"
"3","18","15","true","3","4","105","true","3","2","53","true","3","0","1","true"
"4","18","15","true","4","2","105","true","4","4","53","true","4","0","1","true"
"5","17","15","true","5","3","105","true","5","4","53","true","5","0","1","true"
"6","16","15","true","6","3","105","true","6","5","53","true","6","0","1","true"
"7","16","15","true","7","3","105","true","7","5","53","true","7","0","1","true"
"8","16","15","true","8","3","105","true","8","5","53","true","8","0","1","true"
"9","15","15","true","9","4","105","true","9","5","53","true","9","0","1","true"
"10","15","15","true","10","3","105","true","10","6","53","true","10","0","1","true"
"11","15","15","true","11","3","105","true","11","5","53","true","11","1","1","true"
