"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","27","15","true","0","1","105","true","0","0","53","true","0","0","1","true"
"1","26","15","true","1","2","105","true","1","0","53","true","1","0","1","true"
"2","25","15","true","2","3","105","true","2","0","53","true","2","0","1","true"
"3","23","15","true","3","5","105","true","3","0","53","true","3","0","1","true"
"4","23","15","true","4","3","105","true","4","2","53","true","4","0","1","true"
"5","21","15","true","5","5","105","true","5","1","53","true","5","1","1","true"
"6","21","15","true","6","5","105","true","6","1","53","true","6","1","1","true"
"7","20","15","true","7","6","105","true","7","1","53","true","7","1","1","true"
"8","18","15","true","8","6","105","true","8","3","53","true","8","1","1","true"
"9","17","15","true","9","6","105","true","9","4","53","true","9","1","1","true"
"10","16","15","true","10","7","105","true","10","4","53","true","10","1","1","true"
"11","15","15","true","11","8","105","true","11","3","53","true","11","2","1","true"
