"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","33","15","true","0","2","105","true","0","0","53","true","0","0","1","true"
"1","32","15","true","1","3","105","true","1","0","53","true","1","0","1","true"
"2","31","15","true","2","4","105","true","2","0","53","true","2","0","1","true"
"3","30","15","true","3","4","105","true","3","1","53","true","3","0","1","true"
"4","29","15","true","4","5","105","true","4","1","53","true","4","0","1","true"
"5","27","15","true","5","6","105","true","5","2","53","true","5","0","1","true"
"6","26","15","true","6","7","105","true","6","2","53","true","6","0","1","true"
"7","26","15","true","7","5","105","true","7","3","53","true","7","1","1","true"
"8","26","15","true","8","4","105","true","8","3","53","true","8","2","1","true"
"9","26","15","true","9","4","105","true","9","3","53","true","9","2","1","true"
"10","25","15","true","10","5","105","true","10","3","53","true","10","2","1","true"
"11","25","15","true","11","4","105","true","11","4","53","true","11","2","1","true"
"12","24","15","true","12","5","105","true","12","4","53","true","12","2","1","true"
"13","23","15","true","13","5","105","true","13","5","53","true","13","2","1","true"
"14","23","15","true","14","4","105","true","14","6","53","true","14","2","1","true"
"15","22","15","true","15","5","105","true","15","6","53","true","15","2","1","true"
"16","22","15","true","16","4","105","true","16","6","53","true","16","3","1","true"
"17","21","15","true","17","5","105","true","17","4","53","true","17","5","1","true"
"18","20","15","true","18","6","105","true","18","4","53","true","18","5","1","true"
"19","20","15","true","19","6","105","true","19","4","53","true","19","5","1","true"
"20","19","15","true","20","7","105","true","20","4","53","true","20","5","1","true"
"21","19","15","true","21","6","105","true","21","5","53","true","21","5","1","true"
"22","19","15","true","22","6","105","true","22","5","53","true","22","5","1","true"
"23","19","15","true","23","5","105","true","23","4","53","true","23","7","1","true"
