"export-plots data (NetLogo 5.3.1)"
"block120.nlogo"
"01/05/2017 15:14:08:461 +0900"

"MODEL SETTINGS"
"recovery-chance","gain-resistance-chance","time-steps","block-size","upgrade-check-frequency","number-neighbors","show-state?","upgrade-spread-chance","max_number_d"
"24","35","40","16","1","3","true","49","8"

"""Contagion rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","15","0","97.8","true","""susceptible""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""susceptible""","true","0","1","63","12"
"""upgraded""","true","0","1","15","12"
"""delayed""","true","0","1","5","12"

"""susceptible""",,,,"""upgraded""",,,,"""delayed"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","88.88888888888889","63","true","0","11.11111111111111","15","true","0","0","5","true"
"1","81.48148148148148","63","true","1","14.814814814814813","15","true","1","3.7037037037037033","5","true"
"2","77.77777777777779","63","true","2","18.51851851851852","15","true","2","3.7037037037037033","5","true"
"3","70.37037037037037","63","true","3","22.22222222222222","15","true","3","7.4074074074074066","5","true"
"4","70.37037037037037","63","true","4","22.22222222222222","15","true","4","7.4074074074074066","5","true"
"5","74.07407407407408","63","true","5","14.814814814814813","15","true","5","11.11111111111111","5","true"
"6","66.66666666666666","63","true","6","18.51851851851852","15","true","6","14.814814814814813","5","true"
"7","59.25925925925925","63","true","7","25.925925925925924","15","true","7","14.814814814814813","5","true"
"8","51.85185185185185","63","true","8","33.33333333333333","15","true","8","14.814814814814813","5","true"
"9","55.55555555555556","63","true","9","25.925925925925924","15","true","9","18.51851851851852","5","true"
"10","44.44444444444444","63","true","10","33.33333333333333","15","true","10","22.22222222222222","5","true"
"11","44.44444444444444","63","true","11","29.629629629629626","15","true","11","25.925925925925924","5","true"
"12","44.44444444444444","63","true","12","25.925925925925924","15","true","12","29.629629629629626","5","true"

"""Trajectories"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","15","0","30","true","""A""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""A""","true","0","1","15","12"
"""B""","true","0","1","105","12"
"""C""","true","0","1","53","12"
"""D""","true","0","1","1","12"

"""A""",,,,"""B""",,,,"""C""",,,,"""D"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","24","15","true","0","2","105","true","0","1","53","true","0","0","1","true"
"1","22","15","true","1","4","105","true","1","1","53","true","1","0","1","true"
"2","21","15","true","2","5","105","true","2","1","53","true","2","0","1","true"
"3","18","15","true","3","8","105","true","3","1","53","true","3","0","1","true"
"4","17","15","true","4","8","105","true","4","2","53","true","4","0","1","true"
"5","17","15","true","5","7","105","true","5","2","53","true","5","1","1","true"
"6","15","15","true","6","8","105","true","6","3","53","true","6","1","1","true"
"7","14","15","true","7","8","105","true","7","3","53","true","7","2","1","true"
"8","11","15","true","8","10","105","true","8","4","53","true","8","2","1","true"
"9","9","15","true","9","9","105","true","9","5","53","true","9","4","1","true"
"10","6","15","true","10","12","105","true","10","4","53","true","10","5","1","true"
"11","6","15","true","11","9","105","true","11","6","53","true","11","6","1","true"
"12","6","15","true","12","8","105","true","12","5","53","true","12","8","1","true"

"""Nodes to houses"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","0.469","0","10","true","""Nodes""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Nodes""","true","0","1","15","0.40625"

"""Nodes"""
"x","y","color","pen down?"
"0.03125","3","15","true"
"0.03125","4","15","true"
"0.03125","5","15","true"
"0.03125","6","15","true"
"0.0625","6","15","true"
"0.09375","4","15","true"
"0.125","5","15","true"
"0.15625","7","15","true"
"0.1875","9","15","true"
"0.28125","7","15","true"
"0.28125","9","15","true"
"0.375","8","15","true"
"0.40625","7","15","true"

"""Proportions"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1","0","1","true","""c""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""c""","true","0","1","0","0.25"

"""c"""
"x","y","color","pen down?"
"0","0.09375","0","true"
"0","0.15625","0","true"
"0","0.1875","0","true"
"0","0.28125","0","true"
"0","0.3125","0","true"
"0.03125","0.28125","0","true"
"0.03125","0.34375","0","true"
"0.0625","0.34375","0","true"
"0.0625","0.4375","0","true"
"0.125","0.4375","0","true"
"0.15625","0.5","0","true"
"0.1875","0.46875","0","true"
"0.25","0.40625","0","true"

