"x,""y"",""color"",""pen down?"",""x"",""y"",""color"",""pen down?"",""x"",""y"",""color"",""pen down?"",""x"",""y"",""color"",""pen down?"""
"0,""24"",""15"",""true"",""0"",""2"",""105"",""true"",""0"",""1"",""53"",""true"",""0"",""0"",""1"",""true"""
"1,""22"",""15"",""true"",""1"",""4"",""105"",""true"",""1"",""1"",""53"",""true"",""1"",""0"",""1"",""true"""
"2,""21"",""15"",""true"",""2"",""5"",""105"",""true"",""2"",""1"",""53"",""true"",""2"",""0"",""1"",""true"""
"3,""18"",""15"",""true"",""3"",""8"",""105"",""true"",""3"",""1"",""53"",""true"",""3"",""0"",""1"",""true"""
"4,""17"",""15"",""true"",""4"",""8"",""105"",""true"",""4"",""2"",""53"",""true"",""4"",""0"",""1"",""true"""
"5,""17"",""15"",""true"",""5"",""7"",""105"",""true"",""5"",""2"",""53"",""true"",""5"",""1"",""1"",""true"""
"6,""15"",""15"",""true"",""6"",""8"",""105"",""true"",""6"",""3"",""53"",""true"",""6"",""1"",""1"",""true"""
"7,""14"",""15"",""true"",""7"",""8"",""105"",""true"",""7"",""3"",""53"",""true"",""7"",""2"",""1"",""true"""
"8,""11"",""15"",""true"",""8"",""10"",""105"",""true"",""8"",""4"",""53"",""true"",""8"",""2"",""1"",""true"""
"9,""9"",""15"",""true"",""9"",""9"",""105"",""true"",""9"",""5"",""53"",""true"",""9"",""4"",""1"",""true"""
"10,""6"",""15"",""true"",""10"",""12"",""105"",""true"",""10"",""4"",""53"",""true"",""10"",""5"",""1"",""true"""
"11,""6"",""15"",""true"",""11"",""9"",""105"",""true"",""11"",""6"",""53"",""true"",""11"",""6"",""1"",""true"""
"12,""6"",""15"",""true"",""12"",""8"",""105"",""true"",""12"",""5"",""53"",""true"",""12"",""8"",""1"",""true"""
