"export-plots data (NetLogo 5.3.1)"
"block120.nlogo"
"01/05/2017 15:27:35:200 +0900"

"MODEL SETTINGS"
"recovery-chance","gain-resistance-chance","time-steps","block-size","upgrade-check-frequency","number-neighbors","show-state?","upgrade-spread-chance","max_number_d"
"24","35","40","16","1","3","true","49","8"

"""Contagion rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20","0","97.8","true","""susceptible""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""susceptible""","true","0","1","63","20"
"""upgraded""","true","0","1","15","20"
"""delayed""","true","0","1","5","20"

"""susceptible""",,,,"""upgraded""",,,,"""delayed"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","88.88888888888889","63","true","0","11.11111111111111","15","true","0","0","5","true"
"1","81.48148148148148","63","true","1","18.51851851851852","15","true","1","0","5","true"
"2","85.18518518518519","63","true","2","11.11111111111111","15","true","2","3.7037037037037033","5","true"
"3","77.77777777777779","63","true","3","14.814814814814813","15","true","3","7.4074074074074066","5","true"
"4","81.48148148148148","63","true","4","11.11111111111111","15","true","4","7.4074074074074066","5","true"
"5","77.77777777777779","63","true","5","11.11111111111111","15","true","5","11.11111111111111","5","true"
"6","77.77777777777779","63","true","6","11.11111111111111","15","true","6","11.11111111111111","5","true"
"7","77.77777777777779","63","true","7","11.11111111111111","15","true","7","11.11111111111111","5","true"
"8","77.77777777777779","63","true","8","11.11111111111111","15","true","8","11.11111111111111","5","true"
"9","77.77777777777779","63","true","9","11.11111111111111","15","true","9","11.11111111111111","5","true"
"10","81.48148148148148","63","true","10","7.4074074074074066","15","true","10","11.11111111111111","5","true"
"11","74.07407407407408","63","true","11","14.814814814814813","15","true","11","11.11111111111111","5","true"
"12","74.07407407407408","63","true","12","11.11111111111111","15","true","12","14.814814814814813","5","true"
"13","74.07407407407408","63","true","13","11.11111111111111","15","true","13","14.814814814814813","5","true"
"14","66.66666666666666","63","true","14","11.11111111111111","15","true","14","22.22222222222222","5","true"
"15","59.25925925925925","63","true","15","18.51851851851852","15","true","15","22.22222222222222","5","true"
"16","55.55555555555556","63","true","16","22.22222222222222","15","true","16","22.22222222222222","5","true"
"17","59.25925925925925","63","true","17","18.51851851851852","15","true","17","22.22222222222222","5","true"
"18","59.25925925925925","63","true","18","18.51851851851852","15","true","18","22.22222222222222","5","true"
"19","59.25925925925925","63","true","19","14.814814814814813","15","true","19","25.925925925925924","5","true"
"20","51.85185185185185","63","true","20","18.51851851851852","15","true","20","29.629629629629626","5","true"

"""Trajectories"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","20","0","30","true","""A""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""A""","true","0","1","15","20"
"""B""","true","0","1","105","20"
"""C""","true","0","1","53","20"
"""D""","true","0","1","1","20"

"""A""",,,,"""B""",,,,"""C""",,,,"""D"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","24","15","true","0","2","105","true","0","1","53","true","0","0","1","true"
"1","22","15","true","1","4","105","true","1","1","53","true","1","0","1","true"
"2","22","15","true","2","3","105","true","2","2","53","true","2","0","1","true"
"3","21","15","true","3","4","105","true","3","1","53","true","3","1","1","true"
"4","21","15","true","4","3","105","true","4","1","53","true","4","2","1","true"
"5","21","15","true","5","3","105","true","5","1","53","true","5","2","1","true"
"6","21","15","true","6","3","105","true","6","0","53","true","6","3","1","true"
"7","19","15","true","7","5","105","true","7","0","53","true","7","3","1","true"
"8","19","15","true","8","4","105","true","8","1","53","true","8","3","1","true"
"9","18","15","true","9","5","105","true","9","1","53","true","9","3","1","true"
"10","18","15","true","10","5","105","true","10","1","53","true","10","3","1","true"
"11","17","15","true","11","6","105","true","11","0","53","true","11","4","1","true"
"12","16","15","true","12","6","105","true","12","1","53","true","12","4","1","true"
"13","15","15","true","13","7","105","true","13","1","53","true","13","4","1","true"
"14","14","15","true","14","6","105","true","14","3","53","true","14","4","1","true"
"15","14","15","true","15","6","105","true","15","3","53","true","15","4","1","true"
"16","13","15","true","16","6","105","true","16","3","53","true","16","5","1","true"
"17","13","15","true","17","5","105","true","17","4","53","true","17","5","1","true"
"18","13","15","true","18","5","105","true","18","2","53","true","18","7","1","true"
"19","13","15","true","19","4","105","true","19","3","53","true","19","7","1","true"
"20","13","15","true","20","4","105","true","20","2","53","true","20","8","1","true"

"""Nodes to houses"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","0.352","0","10","true","""Nodes""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""Nodes""","true","0","1","15","0.3125"

"""Nodes"""
"x","y","color","pen down?"
"0.03125","3","15","true"
"0.03125","5","15","true"
"0.0625","3","15","true"
"0.0625","4","15","true"
"0.09375","3","15","true"
"0.09375","3","15","true"
"0.09375","3","15","true"
"0.09375","3","15","true"
"0.125","3","15","true"
"0.125","3","15","true"
"0.125","2","15","true"
"0.125","4","15","true"
"0.15625","3","15","true"
"0.15625","3","15","true"
"0.21875","3","15","true"
"0.21875","5","15","true"
"0.25","6","15","true"
"0.28125","5","15","true"
"0.28125","5","15","true"
"0.3125","4","15","true"
"0.3125","5","15","true"

"""Proportions"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1","0","1","true","""c""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""c""","true","0","1","0","0.25"

"""c"""
"x","y","color","pen down?"
"0","0.09375","0","true"
"0","0.15625","0","true"
"0","0.15625","0","true"
"0.03125","0.15625","0","true"
"0.0625","0.125","0","true"
"0.0625","0.125","0","true"
"0.09375","0.09375","0","true"
"0.09375","0.15625","0","true"
"0.09375","0.15625","0","true"
"0.09375","0.1875","0","true"
"0.09375","0.1875","0","true"
"0.125","0.1875","0","true"
"0.125","0.21875","0","true"
"0.125","0.25","0","true"
"0.125","0.28125","0","true"
"0.125","0.28125","0","true"
"0.15625","0.28125","0","true"
"0.15625","0.28125","0","true"
"0.21875","0.21875","0","true"
"0.21875","0.21875","0","true"
"0.25","0.1875","0","true"

